0; 0.596
1; 0.538
2; 0.59
3; 0.528
4; 0.63
5; 0.698
6; 0.698
7; 0.664
8; 0.696
9; 0.661
10; 0.552
11; 0.688
12; 0.559
13; 0.563
14; 0.618
15; 0.563
16; 0.565
17; 0.546
18; 0.584
19; 0.561
20; 0.553
21; 0.567
22; 0.587
23; 0.656
24; 0.595
25; 0.55
26; 0.583
27; 0.595
28; 0.577
29; 0.56
30; 0.576
31; 0.62
32; 0.602
33; 0.583
34; 0.561
35; 0.589
36; 0.569
37; 0.594
38; 0.6
39; 0.61
40; 0.552
41; 2.086
42; 0.65
43; 0.835
44; 0.585
45; 0.654
46; 0.8
47; 0.79
48; 0.702
49; 0.542
50; 0.657
51; 0.575
52; 0.554
53; 0.538
54; 0.681
55; 0.6
56; 0.588
57; 0.563
58; 0.563
59; 0.625
60; 1.275
61; 0.578
62; 0.587
63; 0.568
64; 0.548
65; 0.564
66; 0.569
67; 0.712
68; 0.683
69; 0.563
70; 0.544
71; 0.582
72; 0.549
73; 0.551
74; 0.552
75; 0.553
76; 0.563
77; 0.582
78; 0.592
79; 0.557
80; 0.561
81; 0.571
82; 0.538
83; 0.559
84; 0.552
85; 0.558
86; 0.575
87; 0.577
88; 0.561
89; 0.603
90; 0.56
91; 0.581
92; 0.572
93; 0.592
94; 0.564
95; 0.54
96; 0.546
97; 0.552
98; 0.603
99; 0.587
100; 0.56
101; 0.556
102; 0.696
103; 0.579
104; 0.539
105; 0.572
106; 0.545
107; 0.602
108; 0.56
109; 0.575
110; 0.577
111; 0.537
112; 0.538
113; 0.655
114; 0.608
115; 0.581
116; 0.565
117; 0.587
118; 0.641
119; 0.509
120; 0.555
121; 0.499
122; 0.663
123; 0.533
124; 0.533
125; 0.533
126; 0.563
127; 0.561
128; 0.534
129; 0.548
130; 0.583
131; 0.951
132; 0.551
133; 0.599
134; 0.594
135; 0.689
136; 0.585
137; 0.67
138; 0.565
139; 0.686
140; 0.573
141; 0.551
142; 0.555
143; 0.557
144; 0.582
145; 0.544
146; 0.618
147; 0.65
148; 0.57
149; 0.966
150; 0.602
151; 0.525
152; 0.548
153; 0.589
154; 0.581
155; 0.588
156; 0.591
157; 0.553
158; 0.562
159; 0.565
160; 0.567
161; 0.585
162; 0.554
163; 0.565
164; 0.526
165; 0.56
166; 0.528
167; 0.801
168; 0.625
169; 0.605
170; 0.581
171; 0.563
172; 0.548
173; 0.558
174; 0.533
175; 0.547
176; 0.546
177; 0.514
178; 0.54
179; 0.571
180; 0.523
181; 0.538
182; 0.563
183; 0.553
184; 0.576
185; 0.552
186; 0.599
187; 0.573
188; 0.568
189; 0.567
190; 0.584
191; 0.565
192; 0.531
193; 0.545
194; 0.567
195; 0.56
196; 0.6
197; 0.562
198; 0.542
199; 0.602
